"activity" "subject" "mean"
"1" "WALKING" "1" 0.26883746
"2" "WALKING" "2" 0.063685486
"3" "WALKING" "3" 0.2715415
"4" "WALKING" "4" 0.16459829
"5" "WALKING" "5" 0.2733796
"6" "WALKING" "6" 0.27456461
"7" "WALKING" "7" 0.27548212
"8" "WALKING" "8" 0.27614989
"9" "WALKING" "9" 0.1965075
"10" "WALKING" "10" 0.21246936
"11" "WALKING" "11" 0.27672656
"12" "WALKING" "12" 0.22662672
"13" "WALKING" "13" 0.23889834
"14" "WALKING" "14" 0.27736566
"15" "WALKING" "15" 0.2779664
"16" "WALKING" "16" 0.27861694
"17" "WALKING" "17" 0.27946711
"18" "WALKING" "18" 0.24894993
"19" "WALKING" "19" 0.28059011
"20" "WALKING" "20" 0.25852495
"21" "WALKING" "21" 0.2823454
"22" "WALKING" "22" 0.28485436
"23" "WALKING" "23" 0.28857095
"24" "WALKING" "24" 0.26422343
"25" "WALKING" "25" 0.29493279
"26" "WALKING" "26" 0.30580534
"27" "WALKING" "27" -0.17979957
"28" "WALKING" "28" 0.33823101
"29" "WALKING" "29" 0.36090309
"30" "WALKING" "30" 0.39858287
"31" "WALKING_UPSTAIRS" "1" 0.26946716
"32" "WALKING_UPSTAIRS" "2" 0.1087847
"33" "WALKING_UPSTAIRS" "3" 0.27184364
"34" "WALKING_UPSTAIRS" "4" 0.17194263
"35" "WALKING_UPSTAIRS" "5" 0.27367494
"36" "WALKING_UPSTAIRS" "6" 0.27474643
"37" "WALKING_UPSTAIRS" "7" 0.27559097
"38" "WALKING_UPSTAIRS" "8" 0.27624177
"39" "WALKING_UPSTAIRS" "9" 0.19841429
"40" "WALKING_UPSTAIRS" "10" 0.2147671
"41" "WALKING_UPSTAIRS" "11" -0.22316035
"42" "WALKING_UPSTAIRS" "12" 0.22878026
"43" "WALKING_UPSTAIRS" "13" 0.24069416
"44" "WALKING_UPSTAIRS" "14" 0.27745213
"45" "WALKING_UPSTAIRS" "15" 0.27804002
"46" "WALKING_UPSTAIRS" "16" 0.27871881
"47" "WALKING_UPSTAIRS" "17" 0.2795815
"48" "WALKING_UPSTAIRS" "18" 0.25005143
"49" "WALKING_UPSTAIRS" "19" 0.28076891
"50" "WALKING_UPSTAIRS" "20" 0.25927691
